Symptom,CarDiagnoses,Description,inspectionList,childWebPageList.childWebPageList.childWebPageList.problemList,childWebPageList.childWebPageList.childWebPageList.childWebPageList.title,childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.val,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList,childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList
"If you know what is wrong, start by selecting it: Heating & Air Conditioning. What is the problem with your heat or a/c? Windshield fogs up with the defroster setting on",Leaking heater core,A heater core is a small scaled down version of the radiator in the front of your vehicle. The heater core is located inside your vehicle in the dash on the passenger side inside of the blower case. They can wear down over time from heat expansion and corrosion. If your windows are fogging up when you put on the defroster there is a good chance the heater core is to blame. A small leak in the heater core will give off a steam that can cause your windows to fog and is usually accompanied with a sweet coolant /antifreeze smell.,"['1) Open the hood locate and remove the radiator cap', '2) Connect the pressure tester to the radiator\xa0filler.\xa0Pumping the pressure tester raise the pressure to the\xa0rating\xa0that is\xa0on the radiator cap.\xa0', '3) Watch the gauge on the pressure tester it should be able to hold the pressure for 12-15 minutes, if the gauge starts to fall immediately there is a system leak. Visually inspect the vehicle for coolant leaks. Check the radiator, water pump, coolant tank, radiator hoses, and check under the vehicle for drips that you can follow back to the location of the leak. Also check inside the vehicle, the heater core is located inside the dash on the passengers side, check the front passenger floor for dampness, also look under passenger side dash for any signs of a coolant leak.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle pulls",Dragging Front Brake,"Brake calipers will usually bind on the slides from being improperly lubed or overly dirty. Gunk builds up on the slides and will not allow the caliper to press together, preventing the pads from stopping the rotor from spinning.","['1) Secure your vehicle on a level surface, making sure your car will not roll or lean when jacked up.', '2) Remove the front wheel hub caps if applicable. Using a tire iron, break loose the front wheel lug nuts but do not remove.', '3) Using a floor jack, lift up the front of your vehicle.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the front wheel lug nuts. Remove the front wheels and set them aside.', '6) Repeat steps 2 through 4 to remove the rear wheels.', '7) Inspect the brake caliper for any signs of binding. Look for dirt built up on the caliper slides or lack of lubricant.', '8) For drum brakes, remove the brake drum to gain access to the wheel cylinder. Inspect wheel cylinder for fluid leaks or torn cup seals.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle pulls",Wheels out of Alignment,"A wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","['1) Check the vehicles tires, make sure they are the correct size and \xa0inflated to the correct and equal pressure. The recommmended PSI is stamped on the tire side wall. Inspect all the tires for abnormal wear, signs of the tire balding on the inside or outside edge are a sign that there could be an allignment issue.', ""2) Check the steering wheel, the wheel should be in the correct twelve O'clock position when driving in a straight line. If the wheel isn't you will want to have the vehicle alligned."", '3) Check the vehicle Toe, Toe in meaning the tires are pointing at each other; as if you where to literally point your toes in. Toe out, the tires are facing more away from each other; again literally pointing your toes out is the comparison. To check the toe use a tape measure and an assistant, with the steering wheel in the straight position. Measure the\xa0distance of the front tires from center to center of the tire tread on the leading edge and trailing edge of the tires. This should be equal. \xa0The vehicle toe is adjusted by the tie rods and must be equal on both sides.', '4) Test drive the vehicle, by driving on a straight level road. Try and feel if the vehicle is pulling it self to the left or right, sometimes it is more noticable when braking. Vibrations can also\xa0be caused when the vehicle is out of allignment.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle pulls",Unequal Front Tire Pressure,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","['1) Locate the tire ۪s valve stem and remove the valve stem cap.', '2) Using a tire pressure gauge, hold the gauge down on the valve stem to get the tire pressure reading. Perform this step for all tires on the vehicle.', '3) Compare the tire pressure reading you just got to the recommended tire pressure. This is located\xa0on the side\xa0wall of the tire. The tire pressure is measured in PSI or pounds per square inch. Look for the letters PSI on the tire. Owners manuals also give the tire pressure for the factory installed tires.\xa0Some manufacturers also put it on the\xa0manufacturers label located in the door jam of the drivers door, it gives the original factory wheel size, tire sizes, tire\xa0ratings, and tire pressure.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle pulls",Loose or Worn Front End Component,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","['1) Open\xa0the hood and locate the top of\xa0the\xa0suspension strut mounts/shock towers.', '2) Before starting any repairs, be\xa0sure \xa0the vehicle is in park.\xa0\xa0Have an assistant push down on the fender to simulate driving over bumps.', '3) Locate and Inspect the upper shock mounts on the inside of the engine compartment and underneath the wheel well for damage.', '4) Close\xa0the hood, then secure\xa0the vehicle on a level surface, making sure it\xa0 will not roll or lean when jacked up.', '5) Inspect the vehicle ride height (coil springs, struts, or torsion bars). Some owner ۪s manuals will have ride height specifications.\xa0 The left and right side measurements should be equal.', '6) Using a floor jack, lift the front of\xa0the vehicle.', '7) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle.', '8) Inspect all suspension grease boots for damage and make sure the boots are full of grease.', '9) Use a grease gun and apply grease through the zerk fitting (grease fitting). When the grease begins to ooze from the joint, the boot is full.', '10) Inspect sway bar mounts and end linkage for loose, bent, or missing components. Any damaged linkage will need to be replaced.', '11) Inspect the control arms for damage to the bushings and ball joints. Bushing kits and ball joints are available for replacement; however, replacing the control arm assembly may also be\xa0an option.', '12) Inspect the steering rack, steering box, steering column, and the inner tie rod linkage.', '13) Inspect the outer tie rod ends for excessive play at the connection to the steering knuckle. You will also want to inspect the tie rod boots for damage.\xa0Note: On some vehicles, it may be necessary to remove the wheels to see and inspect the outer tie rod end.', '14) Replace the necessary suspension system components and take the vehicle to a certified technician for proper alignment.', '15) Test drive the vehicle and verify if there is suspension noise.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel shakes",Tires/Wheels Out of Balance or Damaged.,"Wheel balance can affect the ride of your vehicle, if the wheels are out of balance you may be experiencing a vibration feeling or vibration noise when driving, and sometimes its even stronger at highway speeds. Wheel balancing is done to compensate for heavy spots of the wheel and tire, if your wheels are bent or chipped this can cause your wheel to be out of balance. Wheel weights are adhered or clipped to the wheel rim to compensate for these differences. Irregular tire wear is also a symptom of a wheel not being balanced.","['1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean when jacked up.', ""2) Use a floor jack to lift the vehicle. Most vehicles are equipped with a factory floor jack commonly located in the trunk. To properly use the floor jack consult your vehicle owner's manual. Following the owner's manual instructions will give the correct location to jack the vehicle up and the the proper operation of the jack."", '3) Secure the vehicle with jack stands on both sides for added safety before starting any work. Do not rely on the floor jack to\xa0support the entire weight of the vehicle.', '4) Now remove the lug nuts followed by the wheels.', '5) After removing the wheel/tire from the vehicle, it will be necessary to take it to a certified automotive repair faciltiy to complete the tire/wheel balance inspection. Otherwise, if you have direct access to tire/wheel balancing equipment, follow the manufacturers instructions to complete the process.', '6) Balancing the tire/wheel assembly\xa0involves the precise placement of wheel weights on opposite sides of the inner or outer edge. The weights are\xa0specifically designed for different rim/wheel applications. If performing this procedure on your own, pay close attention to the type\xa0of \xa0wheel weights necessary\xa0and make sure final readings reach optimum wheel/rim balance.', '7) After the wheel/rim is balanced, check the rim/wheel for possible damage. In some cases, the wheel/rim may be bent or cracked beyond repair, causing the steering wheel to pulsate and experience rough road drivability. If this issue is present, it will be necessary to replace the entire rim/wheel assembly.', '8) Also, check the tires for proper tread. Uneven tire tread wear is an indication that the problem may have to be\xa0further diagnosed into the vehicle suspension. Tires can be just as responsible for uneven balance, if they look bald, have side wall damage or are under inflated.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel shakes",Worn Wheel Hub Assembly,A wheel hub assembly can fail from normal wear and tear. They are sealed assemblies that do not require additional lubrication. Excessive hard driving can cause the hub assembly to wear out prematurely.,"['1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean too much when jacked up.', '2) Use a jack to raise the vehicle.', '3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '4) Grab the wheel and tire assembly at the 12 and 6 clock positions and attempt to shake the wheel assembly.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel shakes",Loose or Worn Front End Component,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","['1) Open\xa0the hood and locate the top of\xa0the\xa0suspension strut mounts/shock towers.', '2) Before starting any repairs, be\xa0sure \xa0the vehicle is in park.\xa0\xa0Have an assistant push down on the fender to simulate driving over bumps.', '3) Locate and Inspect the upper shock mounts on the inside of the engine compartment and underneath the wheel well for damage.', '4) Close\xa0the hood, then secure\xa0the vehicle on a level surface, making sure it\xa0 will not roll or lean when jacked up.', '5) Inspect the vehicle ride height (coil springs, struts, or torsion bars). Some owner ۪s manuals will have ride height specifications.\xa0 The left and right side measurements should be equal.', '6) Using a floor jack, lift the front of\xa0the vehicle.', '7) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle.', '8) Inspect all suspension grease boots for damage and make sure the boots are full of grease.', '9) Use a grease gun and apply grease through the zerk fitting (grease fitting). When the grease begins to ooze from the joint, the boot is full.', '10) Inspect sway bar mounts and end linkage for loose, bent, or missing components. Any damaged linkage will need to be replaced.', '11) Inspect the control arms for damage to the bushings and ball joints. Bushing kits and ball joints are available for replacement; however, replacing the control arm assembly may also be\xa0an option.', '12) Inspect the steering rack, steering box, steering column, and the inner tie rod linkage.', '13) Inspect the outer tie rod ends for excessive play at the connection to the steering knuckle. You will also want to inspect the tie rod boots for damage.\xa0Note: On some vehicles, it may be necessary to remove the wheels to see and inspect the outer tie rod end.', '14) Replace the necessary suspension system components and take the vehicle to a certified technician for proper alignment.', '15) Test drive the vehicle and verify if there is suspension noise.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel is hard to turn",Power Steering Drive Belt (Damage/Loose),"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.","['1) Open the vehicle ۪s hood and locate the vehicle ۪s serpentine belt.', '2) Inspect the ribs on\xa0the serpentine belt.\xa0Check for cracks in the rubber, fraying, or chips to the belt. Look for\xa0signs of\xa0fluids that may have spilled on the belt.', '3) Check the belt tension by pushing down in the middle of a section of the belt. It should not move more than a half inch. Look at the smooth side of the belt if it looks glazed, like it has a shine to it, the belt is probably loose and slipping on the pulleys.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel is hard to turn",Low Power Steering Fluid,"Power steering fluid being low is most likely caused by a leak in the power steering system, make sure to check all the power steering components; power steering pump, power steering rack, power steering hoses. Once you have located the source of the leek you will need to replace that component.","['1) Open the vehicles hood and locate the power steering reservoir cap.', '2) Remove the cap/dipstick check the fluid level on the dipstick, check the level on the dipstick it should be above the low line.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My steering wheel is hard to turn",Faulty power steering pump,Power steering pumps fail due to low fluid and normal wear.,"['1) Open the hood and locate the power steering pump. Refer to vehicle owner ۪s manual for the specific location.', '2) Check power steering fluid level.', '3) Start the vehicle and listen for pump noise.', '4) Have someone turn the steering wheel while listening for a growling noise.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle drifts",Uneven Tire Pressure,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","['1) Locate the tire ۪s valve stem and remove the valve stem cap.', '2) Using a tire pressure gauge, hold the gauge down on the valve stem to get the tire pressure reading. Perform this step for all tires on the vehicle.', '3) Compare the tire pressure reading you just got to the recommended tire pressure. This is located\xa0on the side\xa0wall of the tire. The tire pressure is measured in PSI or pounds per square inch. Look for the letters PSI on the tire. Owners manuals also give the tire pressure for the factory installed tires.\xa0Some manufacturers also put it on the\xa0manufacturers label located in the door jam of the drivers door, it gives the original factory wheel size, tire sizes, tire\xa0ratings, and tire pressure.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle drifts",Wheels out of Alignment,"A wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","['1) Check the vehicles tires, make sure they are the correct size and \xa0inflated to the correct and equal pressure. The recommmended PSI is stamped on the tire side wall. Inspect all the tires for abnormal wear, signs of the tire balding on the inside or outside edge are a sign that there could be an allignment issue.', ""2) Check the steering wheel, the wheel should be in the correct twelve O'clock position when driving in a straight line. If the wheel isn't you will want to have the vehicle alligned."", '3) Check the vehicle Toe, Toe in meaning the tires are pointing at each other; as if you where to literally point your toes in. Toe out, the tires are facing more away from each other; again literally pointing your toes out is the comparison. To check the toe use a tape measure and an assistant, with the steering wheel in the straight position. Measure the\xa0distance of the front tires from center to center of the tire tread on the leading edge and trailing edge of the tires. This should be equal. \xa0The vehicle toe is adjusted by the tie rods and must be equal on both sides.', '4) Test drive the vehicle, by driving on a straight level road. Try and feel if the vehicle is pulling it self to the left or right, sometimes it is more noticable when braking. Vibrations can also\xa0be caused when the vehicle is out of allignment.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle drifts",Loose or Worn Front End Component,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","['1) Open\xa0the hood and locate the top of\xa0the\xa0suspension strut mounts/shock towers.', '2) Before starting any repairs, be\xa0sure \xa0the vehicle is in park.\xa0\xa0Have an assistant push down on the fender to simulate driving over bumps.', '3) Locate and Inspect the upper shock mounts on the inside of the engine compartment and underneath the wheel well for damage.', '4) Close\xa0the hood, then secure\xa0the vehicle on a level surface, making sure it\xa0 will not roll or lean when jacked up.', '5) Inspect the vehicle ride height (coil springs, struts, or torsion bars). Some owner ۪s manuals will have ride height specifications.\xa0 The left and right side measurements should be equal.', '6) Using a floor jack, lift the front of\xa0the vehicle.', '7) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle.', '8) Inspect all suspension grease boots for damage and make sure the boots are full of grease.', '9) Use a grease gun and apply grease through the zerk fitting (grease fitting). When the grease begins to ooze from the joint, the boot is full.', '10) Inspect sway bar mounts and end linkage for loose, bent, or missing components. Any damaged linkage will need to be replaced.', '11) Inspect the control arms for damage to the bushings and ball joints. Bushing kits and ball joints are available for replacement; however, replacing the control arm assembly may also be\xa0an option.', '12) Inspect the steering rack, steering box, steering column, and the inner tie rod linkage.', '13) Inspect the outer tie rod ends for excessive play at the connection to the steering knuckle. You will also want to inspect the tie rod boots for damage.\xa0Note: On some vehicles, it may be necessary to remove the wheels to see and inspect the outer tie rod end.', '14) Replace the necessary suspension system components and take the vehicle to a certified technician for proper alignment.', '15) Test drive the vehicle and verify if there is suspension noise.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a clunking sound when turning","Worn or ""dry"" ball joint",Front suspension components are subjected to normal wear and tear. Ball joints can fail from hard driving. Lack of grease can cause ball joints to fail prematurely.,"['1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean when jacked up.', '2) Place a floor jack under the lower control arm and lift up the front of the vehicle.', '3) With a pry bar between the tire and the ground, pry up on the wheel. Inspect the lower ball joint for excessive movement.', '4) Inspect the ball joint boot for damage and lack of grease.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a clunking sound when turning",Axle Assembly Failure,"A lack of grease between the CV joint will cause a knocking noise because of the metal on metal rotation, the pressure on the joint while turning, and the movement up and down with road vibrations.","['1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean too much when jacked up.', '2) Use a jack to lift up the vehicle.', '3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '4) Remove the wheels by loosening and pulling off the lugs nuts that are holding the rims on. Find the correct size socket and large ratchet or tire iron and turn them counter clockwise. The lug nuts are the capped bolts that round the center of the wheel holding the rim to the hub.', '5) Visually inspect the components behind your wheel to see if there are any signs of grease leaking. A few areas to check would be the brake caliper, the ball joints, and the CV joints and boots. Be sure to check both sides of the vehicle along with the front and rear to find the exact cause or causes for the noise.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a clunking sound when turning",Loose/Worn Tie Rod Ends,"Tie rod ends are part of the steering system, tie rods are responsible for wheel alignment toe, and steering. Worn tie rod ends can cause abnormal tire wear, front end noise, and wheel shimmy or looseness in steering.","['1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean too much when jacked up.', '2) Use a jack to raise the front of the vehicle.', '3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '4) Firmly grasp the tie rod end, push or pull the tie rod end vertical. Feel for any looseness, the tie rod end should feel firm and snug, if the tie rod end moves to easily the tie rod should be replaced. Grinding or binding feeling could mean the tie rod end has rusted internally and should be replaced. Check the rubber boot, if it is damaged water and dirt can easily find its way into the tie rod end, and the tie rod end will wear and need to be replaced.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a squealing sound when turning the wheel",Power Steering Drive Belt (Damage/Loose),"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.","['1) Open the vehicle ۪s hood and locate the vehicle ۪s serpentine belt.', '2) Inspect the ribs on\xa0the serpentine belt.\xa0Check for cracks in the rubber, fraying, or chips to the belt. Look for\xa0signs of\xa0fluids that may have spilled on the belt.', '3) Check the belt tension by pushing down in the middle of a section of the belt. It should not move more than a half inch. Look at the smooth side of the belt if it looks glazed, like it has a shine to it, the belt is probably loose and slipping on the pulleys.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a squealing sound when turning the wheel",Low Power Steering Fluid,"Power steering fluid being low is most likely caused by a leak in the power steering system, make sure to check all the power steering components; power steering pump, power steering rack, power steering hoses. Once you have located the source of the leek you will need to replace that component.","['1) Open the vehicles hood and locate the power steering reservoir cap.', '2) Remove the cap/dipstick check the fluid level on the dipstick, check the level on the dipstick it should be above the low line.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? I hear a squealing sound when turning the wheel",Faulty power steering pump,Power steering pumps fail due to low fluid and normal wear.,"['1) Open the hood and locate the power steering pump. Refer to vehicle owner ۪s manual for the specific location.', '2) Check power steering fluid level.', '3) Start the vehicle and listen for pump noise.', '4) Have someone turn the steering wheel while listening for a growling noise.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bounces excessively over bumps",Worn Shocks Absorbers,"Shocks control stability when driving and also reduce impact of the road to the rest of the vehicle. Bad shocks can add stress to other suspension parts. Shocks are the most important regular service item in your suspension, regular replacement of your vehicles shocks, because they do wear down over time, can keep other suspension components stronger longer.","['1) Perform\xa0a bounce test; using a helper is best, push down on the bumper quickly using a strong effort and release repeat this three times in a row.\xa0 If the vehicle free bounces more than 1 and a half times inbetween each push, then the shocks should be replaced. Also a sure sign of bad shocks is the vehicle bottoming out, or floating over bumps. Test drive the vehicle over some speed bumps. If the front or rear feel like they are dropping to hard after crossing the speed bump or the vehicle continues to bounce or ""float"" for a few seconds then its time to replace the shocks.', '2) Make sure the vehicle is parked on a solid level surface.', '3) Using a floor jack, raise up the vehicle.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '5) Locate the shock absorbers, inspect them for fluid leaking down the shock. Inspect the upper and lower mounts, the shock should be firmly in place. If the rubber appears to be loose or or damaged the shocks should be replaced.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bounces excessively over bumps",Worn Struts,Struts are subjected to daily wear. They need to be inspected during major services and replaced if worn out.,"['1) Make sure the vehicle is parked on a solid level surface to ensure that it does not roll or lean when raised.', '2) Before raising the vehicle perform a bounce test. Bounce the vehicle at each corner above the wheels and check the springing motion. If the vehicle takes too long to spring upward\xa0and appears\xa0unsteady, then the struts are bad.', '3) Using a floor jack, raise up the front of the vehicle.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '5) While under the vehicle, inspect the strut for leaking fluid from the shock and damage to the strut assembly.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bottoms out over bumps",Worn leaf springs,"Whether your vehicle is noticeably sagging in the front or the rear, the root of the problem is in the springs. The purpose of the suspension is to provide a comfort level ride to the passengers. Where the vehicle is sagging; the front or rear is going to determine which component needs to be replaced. The front springs of a vehicle are either independent or combined with a shock cartridge; this is known as a MacPherson strut assembly. The rear of the vehicle can have independent coil springs, leaf springs, or a MacPherson assembly. Regardless of the type of suspension when the vehicles ride height is off the most likely problem are the springs. Springs are constantly being beat up from the road and the constant expansion and contraction of the springs causes them to lose elasticity, and over time the springs will weaken. Some vehicles use air springs, these replace conventional coil springs and are controlled by an electronic leveling system and air compressor that control ride height and offer a smoother ride.","['1) Make sure the vehicle is parked on a solid, level surface to ensure that it does not roll or lean when raised.', '2) Using a floor jack, raise the rear of the vehicle.', '3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '4) While under the vehicle, inspect the leaf springs for damage. Worn or loose leaf springs will affect vehicle alignment, and should be replaced.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bottoms out over bumps",Worn coil springs,"Whether your vehicle is noticeably sagging in the front or the rear, the root of the problem is in the springs. The purpose of the suspension is to provide a comfort level ride to the passengers. Where the vehicle is sagging; the front or rear is going to determine which component needs to be replaced. The front springs of a vehicle are either independent or combined with a shock cartridge; this is known as a MacPherson strut assembly. The rear of the vehicle can have independent coil springs, leaf springs, or a MacPherson assembly. Regardless of the type of suspension when the vehicles ride height is off the most likely problem are the springs. Springs are constantly being beat up from the road and the constant expansion and contraction of the springs causes them to lose elasticity, and over time the springs will weaken. Some vehicles use air springs, these replace conventional coil springs and are controlled by an electronic leveling system and air compressor that control ride height and offer a smoother ride.","['1) Secure your vehicle on a level surface, making sure your car will not roll or lean too much when jacked up.', '2) Use a jack to lift up your vehicle.', '3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '4) While under the vehicle inspect the coil springs to see if they are damaged, if they are cracked or broken and they need replacement.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bottoms out over bumps",Worn Shocks Absorbers,"Shocks control stability when driving and also reduce impact of the road to the rest of the vehicle. Bad shocks can add stress to other suspension parts. Shocks are the most important regular service item in your suspension, regular replacement of your vehicles shocks, because they do wear down over time, can keep other suspension components stronger longer.","['1) Perform\xa0a bounce test; using a helper is best, push down on the bumper quickly using a strong effort and release repeat this three times in a row.\xa0 If the vehicle free bounces more than 1 and a half times inbetween each push, then the shocks should be replaced. Also a sure sign of bad shocks is the vehicle bottoming out, or floating over bumps. Test drive the vehicle over some speed bumps. If the front or rear feel like they are dropping to hard after crossing the speed bump or the vehicle continues to bounce or ""float"" for a few seconds then its time to replace the shocks.', '2) Make sure the vehicle is parked on a solid level surface.', '3) Using a floor jack, raise up the vehicle.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '5) Locate the shock absorbers, inspect them for fluid leaking down the shock. Inspect the upper and lower mounts, the shock should be firmly in place. If the rubber appears to be loose or or damaged the shocks should be replaced.']",,,,,,
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bottoms out over bumps",Worn Struts,Struts are subjected to daily wear. They need to be inspected during major services and replaced if worn out.,"['1) Make sure the vehicle is parked on a solid level surface to ensure that it does not roll or lean when raised.', '2) Before raising the vehicle perform a bounce test. Bounce the vehicle at each corner above the wheels and check the springing motion. If the vehicle takes too long to spring upward\xa0and appears\xa0unsteady, then the struts are bad.', '3) Using a floor jack, raise up the front of the vehicle.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '5) While under the vehicle, inspect the strut for leaking fluid from the shock and damage to the strut assembly.']",,,,,,
"If you know what is wrong, start by selecting it: Check Engine & Warning Lights. Which warning light is on? Battery Charge Warning Light",Faulty Alternator,"Once the engine is running, the charging system is responsible for meeting the demands of the electrical system while recharging the battery. Most charging systems use an integrated voltage regulator to control the alternator output. If the alternator is not charging, the charge light will illuminate, the battery will discharge, and the engine will stop running.","['1) With the engine off, open the hood and locate\xa0the alternator on the front of the engine.Make sure the alternator belt is\xa0on the pulley and the belt is not loose.', '2) Check the battery cables for looseness and corrosion. Clean and tighten the cables if necessary.', ""3) Using your digital multi-meter, check the battery voltage. A fully charged battery should have about 12.6 volts. If the voltage is low, check the battery's condition."", '4) To verify that the battery is still good, charge the battery and\xa0perform a load test.', '5) After verifying a good battery, start the engine and check the battery voltage. The voltage should rise to 13.5-15 volts. If the voltage reading is less than 13 volts or more than 15.5 volts,\xa0the charging system is not functioning correctly.']",,,,,,
"If you know what is wrong, start by selecting it: Check Engine & Warning Lights. Which warning light is on? Battery Charge Warning Light",Serpentine belt slipping/damaged,"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.","['1) Open the vehicle ۪s hood and locate the vehicle ۪s serpentine belt.', '2) Inspect the ribs on\xa0the serpentine belt.\xa0Check for cracks in the rubber, fraying, or chips to the belt. Look for\xa0signs of\xa0fluids that may have spilled on the belt.', '3) Check the belt tension by pushing down in the middle of a section of the belt. It should not move more than a half inch. Look at the smooth side of the belt if it looks glazed, like it has a shine to it, the belt is probably loose and slipping on the pulleys.']",,,,,,
